date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:52:21	33/33	---M-Z	200	added ('OK')	text/html	date:Fri,%2025%20Mar%202022%2012:52:22%20GMT	https://game4ou.xyz/robots.txt		(from )
19:52:21	40844/40844	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Mar%202022%2012:52:22%20GMT	https://game4ou.xyz/coinmasterspinshack2022/	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/Coinmaster7997/game4ou.xyz/coinmasterspinshack2022/index.html	(from )
19:52:21	67961/67961	---M-Z	200	added ('OK')	application/javascript	etag:%2242639cce5db857005b8285dedd67553d%22	https://browser.sentry-cdn.com/6.4.1/bundle.min.js	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/Coinmaster7997/browser.sentry-cdn.com/6.4.1/bundle.min.js	(from https://game4ou.xyz/coinmasterspinshack2022/)
19:52:22	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/Coinmaster7997/www.google-analytics.com/analytics.js	(from https://game4ou.xyz/coinmasterspinshack2022/)
19:52:23	13/13	---M-Z	200	added ('OK')	text/html	date:Fri,%2025%20Mar%202022%2012:52:24%20GMT	https://game4ou.xyz/coinmasterspinshack2022/style.css	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/Coinmaster7997/game4ou.xyz/coinmasterspinshack2022/style.html	(from https://game4ou.xyz/coinmasterspinshack2022/)
19:52:23	1177356/1177356	---M--	200	added ('OK')	image/png	etag:%22354a2e22cadbf597b07d6251ba7e9d66%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/1621826381b0ddbecf60eff7e63df9513605767652.png	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/Coinmaster7997/d13pxqgp3ixdbh.cloudfront.net/uploads/1621826381b0ddbecf60eff7e63df9513605767652.png	(from https://game4ou.xyz/coinmasterspinshack2022/)
19:52:24	3756/3756	---M--	200	added ('OK')	image/png	etag:%2273115021c5106a6de15f47d5f6809ebc%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/161909761163155412c5aeb373d4b700c3d4f2533e.png	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/Coinmaster7997/d13pxqgp3ixdbh.cloudfront.net/uploads/161909761163155412c5aeb373d4b700c3d4f2533e.png	(from https://game4ou.xyz/coinmasterspinshack2022/)
19:52:24	5483/5483	---M--	200	added ('OK')	image/png	etag:%2235b005bb355d702f2883c268a9cbfbc2%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/16218263825fc2a9ad3f03ad0ffac006496a9eccc7.png	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/Coinmaster7997/d13pxqgp3ixdbh.cloudfront.net/uploads/16218263825fc2a9ad3f03ad0ffac006496a9eccc7.png	(from https://game4ou.xyz/coinmasterspinshack2022/)
19:52:24	63344/63344	---M--	200	added ('OK')	image/png	etag:%2209cb9aae468fc0249e0d8f358facd968%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/16218263804f2a6deeca5f5249f085dedb7238644b.png	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/Coinmaster7997/d13pxqgp3ixdbh.cloudfront.net/uploads/16218263804f2a6deeca5f5249f085dedb7238644b.png	(from https://game4ou.xyz/coinmasterspinshack2022/)
19:52:24	2252/2252	---M--	200	added ('OK')	image/png	etag:%227f9dd258f60f0dbc3854ba57f6da459e%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/1619097614d2a3bc7d16dc76d034a41c494e8761e9.png	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/Coinmaster7997/d13pxqgp3ixdbh.cloudfront.net/uploads/1619097614d2a3bc7d16dc76d034a41c494e8761e9.png	(from https://game4ou.xyz/coinmasterspinshack2022/)
19:52:25	2059/2059	---M--	200	added ('OK')	image/png	etag:%2250f1bf88989f34fdbf518faf94ee9336%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/1619097610ccf29477a937c4609878e78433bd9d04.png	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/Coinmaster7997/d13pxqgp3ixdbh.cloudfront.net/uploads/1619097610ccf29477a937c4609878e78433bd9d04.png	(from https://game4ou.xyz/coinmasterspinshack2022/)
19:52:25	2578/2578	---M--	200	added ('OK')	image/png	etag:%224ab56ff2fc375741e39d311c595e1da6%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/1619097619cbddf51d55edd7f3ef8a075872f5917f.png	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/Coinmaster7997/d13pxqgp3ixdbh.cloudfront.net/uploads/1619097619cbddf51d55edd7f3ef8a075872f5917f.png	(from https://game4ou.xyz/coinmasterspinshack2022/)
19:52:25	2076/2076	---M--	200	added ('OK')	image/png	etag:%22b5539dd9d2dcfbc6a65401dd66624624%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/1619097619c1963c3c9b243859fc1619a314da9a8b.png	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/Coinmaster7997/d13pxqgp3ixdbh.cloudfront.net/uploads/1619097619c1963c3c9b243859fc1619a314da9a8b.png	(from https://game4ou.xyz/coinmasterspinshack2022/)
